Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
13/02/2013,473.97108,1093.74124,1820.48676
14/02/2013,624.2034,1241.69795,2198.79648
15/02/2013,1293.42567,1940.75973,3923.98479
16/02/2013,654.54741,1411.86839,2415.4937
17/02/2013,1049.16048,1439.59103,3048.2813
18/02/2013,1299.21515,1453.52695,3445.62903
19/02/2013,3551.96928,2205.98158,7652.25853
20/02/2013,759.40199,1280.3826,2444.78268
21/02/2013,622.34067,1310.19016,2264.43249
22/02/2013,743.2036,1244.04938,2383.61233
23/02/2013,596.25672,1220.46459,2134.71212
24/02/2013,519.62217,1146.49231,1943.23514
25/02/2013,790.63085,1192.35007,2404.63378
26/02/2013,252.67918,431.97573,819.41174
27/02/2013,698.08565,1286.26671,2356.64976
28/02/2013,1099.11475,1882.02798,3567.31374
01/03/2013,1058.72924,1820.52869,3443.89088
02/03/2013,789.48551,1648.49755,2859.0251
03/03/2013,1625.13619,2157.48902,4649.32974
04/03/2013,1840.22018,2249.41351,5071.04508
05/03/2013,2558.6864,2443.58164,6366.84608
06/03/2013,2744.30707,2619.82331,6827.70217
07/03/2013,3357.38767,2515.04461,7662.96723
08/03/2013,2981.16768,1821.83924,6392.89924
09/03/2013,1584.97603,1203.66009,3633.92277
10/03/2013,474.41306,1081.5935,1809.01672
11/03/2013,602.83832,1118.61773,2042.9569
12/03/2013,878.59939,1432.3151,2779.48199
13/03/2013,1566.20771,2058.60211,4460.08706
14/03/2013,1104.64238,1957.69223,3651.45355
15/03/2013,166.17605,1104.01916,1358.81883
16/03/2013,114.89121,806.63977,982.80378
17/03/2013,348.24647,1288.6913,1822.66175
18/03/2013,1755.58765,2344.24131,5036.10479
19/03/2013,935.71396,1756.03741,3190.77884
20/03/2013,1301.00939,1644.23174,3639.08492
21/03/2013,1072.15521,2008.75197,3652.70035
22/03/2013,959.39844,1782.38991,3253.44697
23/03/2013,747.27689,1587.13959,2732.94814
24/03/2013,499.00712,1295.91273,2061.04628
25/03/2013,677.17727,1492.43006,2530.75404
26/03/2013,679.96268,1558.57053,2601.16547
27/03/2013,790.4109,1858.71767,3070.66411
28/03/2013,814.48431,1800.8484,3049.70693
29/03/2013,409.99097,1509.8456,2138.48961
30/03/2013,483.67094,1435.6755,2177.29393
31/03/2013,333.72811,1472.23454,1983.94384
01/04/2013,312.73835,1154.07311,1633.59855
