Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
11/10/2012,6093,2334,11679
12/10/2012,583,939,1834
13/10/2012,1465,1451,3703
14/10/2012,3197,1831,6732
15/10/2012,3709,1616,7303
16/10/2012,3606,1861,7392
17/10/2012,4197,2333,8765
18/10/2012,4865,2430,9898
19/10/2012,4856,2239,9687
20/10/2012,3789,1805,7614
21/10/2012,4363,1991,8681
22/10/2012,4264,1956,8496
23/10/2012,5162,2055,9970
24/10/2012,4673,2244,9407
25/10/2012,5910,2476,11539
26/10/2012,4030,2170,8349
27/10/2012,1748,1642,4326
28/10/2012,1633,1357,3863
29/10/2012,3531,2132,7544
30/10/2012,1531,1412,3761
31/10/2012,3096,2090,6836
01/11/2012,312,178,656
22/11/2012,1450,1042,3265
23/11/2012,2208,1727,5117
24/11/2012,6352,2691,12428
25/11/2012,2571,1852,5795
26/11/2012,5687,2655,11371
27/11/2012,4733,2547,9801
28/11/2012,3809,2198,8043
29/11/2012,9626,3211,17973
30/11/2012,10286,2857,18632
01/12/2012,3421,2161,7407
02/12/2012,4584,2112,9143
03/12/2012,3293,2122,7172
04/12/2012,8079,3204,15588
05/12/2012,5253,2673,10729
06/12/2012,2442,1776,5516
07/12/2012,4415,2428,9195
08/12/2012,3166,1921,6781
09/12/2012,1289,1206,3184
10/12/2012,6657,2629,12838
11/12/2012,12465,3520,22629
12/12/2012,11174,3230,20364
13/12/2012,8079,2689,15073
14/12/2012,5836,2413,11362
15/12/2012,1905,1520,4442
16/12/2012,3185,1859,6742
17/12/2012,5748,2497,11308
18/12/2012,6489,2677,12628
19/12/2012,3363,1697,6856
20/12/2012,5157,2087,9991
21/12/2012,7050,2484,13294
22/12/2012,5784,2229,11093
23/12/2012,1054,904,2518
24/12/2012,4402,1862,8609
25/12/2012,293,681,1132
26/12/2012,2590,1463,5432
27/12/2012,4357,2161,8843
28/12/2012,1443,1158,3373
29/12/2012,1622,1168,3656
30/12/2012,942,801,2248
31/12/2012,954,989,2452
01/01/2013,276,790,1214
02/01/2013,1075,991,2620
03/01/2013,1068,892,2527
04/01/2013,1908,1379,4292
05/01/2013,1848,1464,4298
06/01/2013,2686,1848,5966
07/01/2013,4644,2423,9543
08/01/2013,1656,1553,4093
09/01/2013,1801,1606,4367
10/01/2013,6492,2622,12543
11/01/2013,7903,2956,15073
12/01/2013,5991,2738,11923
13/01/2013,2764,1860,6098
14/01/2013,2294,2172,5690
15/01/2013,6167,2847,12302
16/01/2013,5573,2145,10690
17/01/2013,6486,2506,12451
18/01/2013,3669,2047,7655
19/01/2013,5105,2602,10429
20/01/2013,3031,2008,6656
21/01/2013,3993,2235,8357
22/01/2013,6167,2327,11782
23/01/2013,6553,2832,12880
24/01/2013,4798,2381,9738
25/01/2013,5456,2236,10616
26/01/2013,2688,2040,6162
27/01/2013,581,812,1698
28/01/2013,1303,1092,3084
29/01/2013,1962,1367,4375
30/01/2013,898,1037,2414
31/01/2013,863,1043,2366
01/02/2013,3810,2205,8047
02/02/2013,1817,1922,4708
03/02/2013,620,859,1809
04/02/2013,395,798,1404
05/02/2013,1686,1365,3950
06/02/2013,3109,2034,6801
07/02/2013,1966,1848,4843
08/02/2013,3405,2522,7744
09/02/2013,5867,2673,11668
10/02/2013,3368,2104,7269
11/02/2013,3933,2029,8059
12/02/2013,4835,2280,9609
13/02/2013,3909,1713,7707
14/02/2013,1375,1431,3539
15/02/2013,2916,2077,6549
16/02/2013,5419,2576,10885
17/02/2013,2749,1875,6068
18/02/2013,6181,2566,12043
19/02/2013,6241,2619,12188
20/02/2013,1307,566,2570
21/02/2013,2354,1126,4735
22/02/2013,5896,2308,11348
23/02/2013,4918,2457,9951
24/02/2013,845,721,2016
26/02/2013,2831,1284,5625
27/02/2013,4288,2020,8534
28/02/2013,7242,2687,13782
01/03/2013,5581,2724,11281
02/03/2013,1638,1619,4114
03/03/2013,1617,884,2886
04/03/2013,3932,2186,8216
05/03/2013,6133,2488,11898
06/03/2013,1318,940,2939
07/03/2013,3822,1896,7751
08/03/2013,3784,2153,7955
09/03/2013,3275,2087,7108
10/03/2013,2986,1998,6576
11/03/2013,5117,2924,10770
12/03/2013,3889,2298,8262
13/03/2013,4595,2605,9651
14/03/2013,3444,2226,7507
15/03/2013,2884,2017,6422
16/03/2013,3806,2476,8312
17/03/2013,3659,2353,7963
18/03/2013,3960,2503,8575
19/03/2013,4601,2599,9654
20/03/2013,3998,2651,8780
21/03/2013,3120,2082,6829
22/03/2013,2569,1718,5657
23/03/2013,2189,1473,4721
24/03/2013,1561,1368,3761
25/03/2013,2956,2088,6603
26/03/2013,4959,2675,10279
27/03/2013,5511,2848,11298
28/03/2013,4129,2721,9053
29/03/2013,5246,2972,11015
30/03/2013,4779,2895,10223
31/03/2013,2069,1831,5007
01/04/2013,2315,2129,5679
02/04/2013,5176,3335,11271
03/04/2013,2202,1193,4569
04/04/2013,4278,2300,8671
05/04/2013,3473,2005,7330
06/04/2013,1956,1605,4605
07/04/2013,2530,1856,5735
08/04/2013,3346,2132,7262
09/04/2013,3354,2247,7389
10/04/2013,4555,2691,9685
11/04/2013,5076,2741,10524
12/04/2013,6426,3252,13105
13/04/2013,3036,1936,6561
14/04/2013,625,741,1699
15/04/2013,1129,1028,2752
16/04/2013,642,887,1858
17/04/2013,3061,1731,6412
18/04/2013,533,799,1555
19/04/2013,1607,1506,3970
20/04/2013,1052,1246,2859
21/04/2013,778,893,2068
22/04/2013,849,900,2202
23/04/2013,687,834,1876
24/04/2013,976,1136,2632
25/04/2013,1387,1414,3534
