Date,Sum of Nitrogen oxides as nitrogen dioxide,Sum of Nitric oxide,Sum of Nitrogen dioxide
13-Oct,1303.99793,485.26474,559.93568
14-Oct,2435.07391,931.9319,1006.13159
15-Oct,921.48489,284.42275,485.37611
16-Oct,1044.68306,318.14742,556.86378
17-Oct,1116.05262,315.12734,632.86413
18-Oct,2210.41613,807.46122,972.32618
19-Oct,1468.67877,361.48318,914.41226
20-Oct,1425.69255,355.81656,880.11477
21-Oct,1551.47297,597.4976,635.32281
22-Oct,1781.37822,641.50702,797.74786
23-Oct,1207.14379,285.07954,770.02793
24-Oct,1728.60718,578.10019,842.19927
25-Oct,1211.01564,394.53779,606.06612
26-Oct,460.32576,112.20376,288.28247
27-Oct,847.4628,246.8334,468.99028
28-Oct,778.33098,212.65788,452.2601
29-Oct,1096.51969,340.95694,573.72643
30-Oct,296.31752,68.09881,191.90086
31-Oct,453.68515,115.55963,276.49619
01-Nov,1357.33698,432.1552,694.70826
02-Nov,584.08657,179.82599,308.35726
03-Nov,2221.08558,907.36384,829.81377
04-Nov,2521.57691,948.68151,1066.95225
05-Nov,1903.39106,708.09732,817.65702
06-Nov,1051.84953,345.61924,521.90748
07-Nov,888.52855,279.64457,459.74623
08-Nov,526.81802,136.53026,317.47454
09-Nov,816.65515,250.30751,432.85566
10-Nov,401.1684,113.86702,226.57478
11-Nov,1000.42567,344.28169,472.53447
12-Nov,1376.10264,439.29155,702.53165
13-Nov,531.38114,125.00284,339.71281
14-Nov,693.59638,166.65325,438.06495
15-Nov,631.98312,158.92565,388.30057
16-Nov,1161.34478,360.5764,608.4687
17-Nov,1306.6999,374.53642,732.41875
18-Nov,1045.88408,327.48169,543.75249
19-Nov,262.84429,75.59865,146.92802
20-Nov,1099.09749,383.97936,510.33734
21-Nov,2856.88925,1321.03826,831.32549
22-Nov,2462.84093,918.59277,1054.35163
23-Nov,1076.08799,330.37436,569.52104
24-Nov,499.9713,131.81966,297.85071
25-Nov,829.02703,248.08598,448.63387
26-Nov,422.06684,113.04637,248.73146
27-Nov,310.91109,77.63768,191.86831
28-Nov,3559.04267,1590.1058,1120.91441
29-Nov,2736.7349,1182.81652,923.10817
30-Nov,1881.51831,694.06828,817.29509
01-Dec,884.31186,264.97885,478.0166
02-Dec,686.28595,189.68389,395.44139
03-Dec,1108.4656,354.15502,565.43553
04-Dec,1374.54313,329.38743,869.48947
05-Dec,2037.67933,747.10135,892.13991
06-Dec,1519.83854,513.35693,732.70223
07-Dec,1513.79763,503.93376,741.11001
08-Dec,1550.28408,553.02875,702.3185
09-Dec,1796.37301,629.79598,830.69929
10-Dec,1706.95127,582.33898,814.04395
11-Dec,1610.83564,575.88252,727.82816
12-Dec,2125.45782,804.95419,891.21195
13-Dec,1883.87631,695.03168,818.17593
14-Dec,1223.45619,406.73798,599.80004
15-Dec,2623.85631,997.70737,1094.05968
16-Dec,3191.77105,1309.8326,1183.38912
17-Dec,2465.54398,872.70639,1127.41289
18-Dec,1021.12264,322.95453,525.93258
19-Dec,513.88479,128.3918,317.02011
20-Dec,967.49017,295.10306,515.00512
21-Dec,764.31726,215.00282,434.6509
22-Dec,2374.7927,847.79067,1074.86514
23-Dec,1583.71575,434.42339,917.60919
24-Dec,725.00215,184.68308,441.82539
25-Dec,446.53475,106.42391,283.35378
26-Dec,929.11446,270.73264,513.99692
27-Dec,1545.54941,497.45492,782.79587
28-Dec,2998.15026,1215.18816,1134.88771
29-Dec,1801.14671,604.95297,873.56509
30-Dec,681.96672,198.47438,377.64353
31-Dec,3434.93147,1375.28643,1326.18838
